"Country","Region","Month","Female","Male","Hotelstay","Otherstay","Age0to12","Age13to20","Age21to35","Age36to49","Age50over","Leisure","Business","Conf_Convention","Education","Friend_Family","Otherreason"
"Ukraine","Europe",2022-04-01,107,71,94,84,28,16,75,39,20,151,1,0,0,10,16
"Other Europe","Europe",2022-04-01,752,740,1179,313,173,87,401,493,338,1341,34,6,0,39,72
"Australia","Australia",2022-04-01,29,47,51,25,7,0,18,27,24,51,9,4,0,7,5
"Other Rest of the World","Other",2022-04-01,80,113,126,67,17,13,53,67,43,103,41,8,2,18,21
"Dom. Residents",NA,2022-05-01,27676,23306,1022,49960,1867,2928,14150,13826,18211,29419,1833,1509,594,5601,12026
"Ext. Residents",NA,2022-05-01,4880,5816,1234,9462,981,530,2768,2888,3529,6310,992,146,168,1110,1970
"Dom. Non-Residents",NA,2022-05-01,59582,48371,5994,101959,1602,3362,24409,28301,50279,65478,1641,273,275,31372,8914
"Canada","North America",2022-05-01,23439,20170,39228,4381,4607,3513,12262,9879,13348,41901,447,232,6,533,490
"United States","North America",2022-05-01,118579,109052,158020,69611,21224,15341,76123,56747,58196,194390,5904,1187,768,17427,7955
"Mexico","North America",2022-05-01,2128,2790,3776,1142,169,99,1794,1658,1198,3092,919,454,9,196,248
"Aruba","Caribbean",2022-05-01,54,88,53,89,6,18,25,33,60,66,5,2,2,25,42
"Turk and Caicos Islands","Caribbean",2022-05-01,97,173,106,164,18,6,65,91,90,168,13,0,0,15,74
"Costa Rica","Central America",2022-05-01,264,469,514,219,18,11,182,272,250,311,267,63,7,33,52
"Cuba","Caribbean",2022-05-01,259,319,177,401,16,21,137,162,242,273,56,28,4,106,111
"Curaçao","Caribbean",2022-05-01,119,274,219,174,20,31,82,90,170,227,20,10,4,45,87
"El Salvador","Central America",2022-05-01,129,177,206,100,6,9,93,123,75,130,62,67,0,18,29
"Guadeloupe","Caribbean",2022-05-01,224,327,229,322,46,22,91,185,207,276,47,41,1,77,109
"Guatemala","Central America",2022-05-01,336,567,682,221,36,25,282,324,236,421,262,106,2,51,61
"Haiti","Caribbean",2022-05-01,1104,1290,919,1475,71,68,1004,725,526,1089,248,56,43,410,548
"Honduras","Central America",2022-05-01,167,208,252,123,9,9,138,125,94,162,78,83,5,14,33
"Jamaica","Caribbean",2022-05-01,150,249,240,159,15,32,179,110,63,205,51,23,3,9,108
"Martinique","Caribbean",2022-05-01,169,251,242,178,14,61,104,101,140,224,31,7,58,52,48
"Panama","Central America",2022-05-01,626,965,1063,528,78,36,503,605,369,618,523,166,2,122,160
"Puerto Rico","Caribbean",2022-05-01,4511,4799,6385,2925,702,614,2484,2654,2856,7213,568,123,99,605,702
"Saint Martin","Caribbean",2022-05-01,84,151,88,147,25,10,48,55,97,103,12,1,0,79,40
"Trinidad and Tobago","Caribbean",2022-05-01,67,85,111,41,8,8,45,54,37,72,19,19,0,8,34
"U.S. Virgin Islands","Caribbean",2022-05-01,50,93,58,85,28,17,21,32,45,85,6,1,0,17,34
"Other America","North America",2022-05-01,228,438,331,335,31,27,225,216,167,291,64,75,5,73,158
"Argentina","South America",2022-05-01,9719,8417,15985,2151,2406,936,2741,4483,7570,17628,102,152,2,120,132
"Bolivia","South America",2022-05-01,581,481,920,142,107,46,376,276,257,970,5,34,1,13,39
"Brazil","South America",2022-05-01,2829,2797,4987,639,329,170,2013,1679,1435,4794,245,251,4,88,244
"Chile","South America",2022-05-01,6179,5124,9772,1531,1816,697,2581,3346,2863,10838,110,110,5,143,97
"Colombia","South America",2022-05-01,11513,9324,15587,5250,1295,745,7332,5977,5488,17483,895,1414,38,376,631
"Ecuador","South America",2022-05-01,1754,1361,2428,687,235,318,1117,822,623,2671,81,182,8,76,97
"Peru","South America",2022-05-01,3729,3244,5741,1232,691,983,1768,1839,1692,6231,152,302,4,77,207
"Uruguay","South America",2022-05-01,1428,1169,2235,362,255,102,550,630,1060,2437,29,74,4,16,37
"Venezuela","South America",2022-05-01,2416,2444,949,3911,202,312,912,1055,2379,1938,322,79,30,414,2077
"Other South America","South America",2022-05-01,561,458,827,192,116,49,322,268,264,874,20,71,0,16,38
"China","Asia",2022-05-01,29,107,40,96,0,5,63,45,23,37,74,0,2,3,20
"South Korea","Asia",2022-05-01,42,76,77,41,1,3,31,46,37,41,44,10,3,6,14
"India","Asia",2022-05-01,48,89,90,47,7,4,41,45,40,100,15,5,0,1,16
"Israel","Asia",2022-05-01,91,153,175,69,14,5,118,41,66,171,28,5,2,12,26
"Japan","Asia",2022-05-01,21,39,33,27,0,0,15,23,22,15,20,1,0,7,17
"Taiwan","Asia",2022-05-01,6,12,12,6,1,1,5,2,9,9,4,0,0,5,0
"Other Asia","Asia",2022-05-01,204,615,422,397,15,22,406,279,97,353,82,10,5,32,337
"Germany","Europe",2022-05-01,6684,6647,11671,1660,543,307,5137,2597,4747,10574,419,18,11,377,1932
"Austria","Europe",2022-05-01,447,473,744,176,43,25,406,197,249,706,27,5,0,51,131
"Belgium","Europe",2022-05-01,1044,983,1662,365,105,44,837,449,592,1677,93,8,0,96,153
"Bulgaria","Europe",2022-05-01,39,56,68,27,4,3,39,23,26,76,6,1,0,2,10
"Denmark","Europe",2022-05-01,102,105,163,44,15,15,115,8,54,141,39,0,0,20,7
"Scotland","Europe",2022-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-05-01,4627,5433,7334,2726,602,282,3478,2816,2882,7284,1032,281,21,842,600
"Finland","Europe",2022-05-01,12,23,24,11,3,3,9,15,5,20,5,0,0,7,3
"France","Europe",2022-05-01,7379,6838,12289,1928,856,456,4473,3712,4720,11996,494,427,14,446,840
"Greece","Europe",2022-05-01,21,40,40,21,0,1,29,20,11,17,14,3,0,6,21
"Netherlands","Europe",2022-05-01,1306,1310,2051,565,221,147,1057,508,683,2128,84,5,3,242,154
"Hungary","Europe",2022-05-01,205,221,386,40,26,6,122,145,127,386,2,1,0,4,33
"United Kingdom","Europe",2022-05-01,10279,9377,18626,1030,2155,849,6762,4456,5434,19167,220,26,0,115,128
"Ireland","Europe",2022-05-01,182,181,322,41,24,3,177,82,77,343,11,1,0,3,5
"Italy","Europe",2022-05-01,2060,2429,3041,1448,319,110,1650,1012,1398,3716,206,10,4,417,136
"Luxembourg","Europe",2022-05-01,121,103,181,43,30,13,75,63,43,189,0,0,0,12,23
"Norway","Europe",2022-05-01,50,57,68,39,6,10,32,27,32,80,8,0,0,15,4
"Poland","Europe",2022-05-01,524,501,861,164,90,29,446,300,160,890,25,0,2,26,82
"Portugal","Europe",2022-05-01,2500,2342,4358,484,402,63,1729,1527,1121,4610,46,9,0,40,137
"Czech Republic","Europe",2022-05-01,485,439,741,183,78,42,319,269,216,803,9,6,0,38,68
"Romania","Europe",2022-05-01,180,156,282,54,15,5,178,98,40,298,6,0,0,1,31
"Russia","Europe",2022-05-01,84,131,98,117,18,6,96,64,31,150,9,0,0,10,46
"Sweden","Europe",2022-05-01,56,65,74,47,15,2,42,28,34,82,12,6,0,20,1
"Switzerland","Europe",2022-05-01,1390,1421,2118,693,160,114,1123,589,825,2130,117,8,2,274,280
"Ukraine","Europe",2022-05-01,85,54,76,63,5,11,66,36,21,110,5,1,0,5,18
"Other Europe","Europe",2022-05-01,481,503,799,185,64,22,428,245,225,836,26,18,2,27,75
"Australia","Australia",2022-05-01,45,56,70,31,8,3,43,26,21,67,10,5,0,9,10
"Other Rest of the World","Other",2022-05-01,102,157,175,84,11,6,81,96,65,163,36,19,1,15,25
"Dom. Residents",NA,2022-06-01,24168,20353,945,43576,2468,2443,11497,11817,16296,25629,1404,1316,509,5164,10499
"Ext. Residents",NA,2022-06-01,4582,5555,1117,9020,1615,619,2351,2536,3016,6218,962,128,73,1075,1681
"Dom. Non-Residents",NA,2022-06-01,74495,56159,6725,123929,7834,9763,26356,34398,52303,82510,1463,256,223,37031,9171
"Canada","North America",2022-06-01,20345,17632,33554,4423,4890,4358,9968,8500,10261,36435,295,68,12,661,506
"United States","North America",2022-06-01,151893,138772,190228,100437,48211,36716,72954,70115,62669,249500,5371,994,556,24453,9791
"Mexico","North America",2022-06-01,1692,2304,2891,1105,138,150,1418,1398,892,2483,776,365,14,208,150
"Aruba","Caribbean",2022-06-01,62,86,54,94,20,22,31,32,43,71,3,6,0,44,24
"Turk and Caicos Islands","Caribbean",2022-06-01,118,198,118,198,40,15,97,84,80,178,9,4,0,36,89
"Costa Rica","Central America",2022-06-01,319,484,590,213,42,13,204,345,199,291,284,154,6,38,30
"Cuba","Caribbean",2022-06-01,488,458,548,398,45,28,217,265,391,587,91,39,2,119,108
"Curaçao","Caribbean",2022-06-01,136,245,190,191,23,14,74,120,150,209,32,5,0,51,84
"El Salvador","Central America",2022-06-01,109,169,199,79,3,5,93,101,76,105,55,84,1,15,18
"Guadeloupe","Caribbean",2022-06-01,157,229,126,260,67,29,46,94,150,201,33,9,1,92,50
"Guatemala","Central America",2022-06-01,481,643,793,331,90,62,377,359,236,593,185,155,5,79,107
"Haiti","Caribbean",2022-06-01,946,1268,809,1405,90,67,888,661,508,1095,213,55,20,363,468
"Honduras","Central America",2022-06-01,149,207,213,143,25,8,102,141,80,156,57,88,3,21,31
"Jamaica","Caribbean",2022-06-01,133,142,157,118,9,6,130,85,45,159,30,24,1,15,46
"Martinique","Caribbean",2022-06-01,162,239,161,240,46,22,75,116,142,215,30,13,0,66,77
"Panama","Central America",2022-06-01,819,1258,1346,731,199,95,594,740,449,1042,491,183,6,125,230
"Puerto Rico","Caribbean",2022-06-01,9942,9884,14565,5261,1699,2681,4407,5683,5356,16567,560,308,80,1132,1179
"Saint Martin","Caribbean",2022-06-01,83,94,40,137,25,19,46,55,32,77,11,0,0,47,42
"Trinidad and Tobago","Caribbean",2022-06-01,74,70,120,24,7,6,42,45,44,99,8,21,0,8,8
"U.S. Virgin Islands","Caribbean",2022-06-01,116,109,35,190,89,37,26,22,51,158,3,0,0,52,12
"Other America","North America",2022-06-01,211,557,329,439,71,51,214,231,201,344,68,67,0,108,181
"Argentina","South America",2022-06-01,8603,7382,14070,1915,1968,852,2271,3766,7128,15505,99,99,8,125,149
"Bolivia","South America",2022-06-01,563,460,820,203,172,100,273,260,218,942,5,34,0,20,22
"Brazil","South America",2022-06-01,2527,2442,4265,704,380,150,1698,1538,1203,4295,247,95,5,98,229
"Chile","South America",2022-06-01,5425,4685,8666,1444,1399,495,2593,2761,2862,9628,104,54,4,197,123
"Colombia","South America",2022-06-01,13217,10967,17089,7095,2423,1976,7082,6788,5915,21196,831,417,144,652,944
"Ecuador","South America",2022-06-01,669,582,821,430,58,68,488,346,291,1015,43,74,7,57,55
"Peru","South America",2022-06-01,2204,1742,3078,868,274,139,1300,1109,1124,3445,114,99,5,78,205
"Uruguay","South America",2022-06-01,1175,1031,1866,340,323,96,425,551,811,2128,34,17,4,7,16
"Venezuela","South America",2022-06-01,2516,2555,860,4211,243,327,940,1177,2384,2033,274,75,12,435,2242
"Other South America","South America",2022-06-01,197,203,242,158,27,14,178,79,102,301,13,14,2,11,59
"China","Asia",2022-06-01,31,76,33,74,0,7,51,37,12,24,58,2,0,11,12
"South Korea","Asia",2022-06-01,31,93,67,57,1,1,37,42,43,19,54,12,2,20,17
"India","Asia",2022-06-01,36,116,81,71,4,7,41,62,38,80,19,3,0,1,49
"Israel","Asia",2022-06-01,115,144,167,92,38,15,94,53,59,201,21,2,0,11,24
"Japan","Asia",2022-06-01,18,34,37,15,1,4,16,16,15,17,13,2,0,6,14
"Taiwan","Asia",2022-06-01,7,12,9,10,1,1,2,6,9,11,7,0,0,1,0
"Other Asia","Asia",2022-06-01,182,483,297,368,35,27,325,179,99,255,81,11,2,33,283
"Germany","Europe",2022-06-01,5913,5705,10100,1518,1014,1127,3936,2688,2853,9229,322,3,7,324,1733
"Austria","Europe",2022-06-01,341,339,525,155,58,35,283,136,168,519,15,0,0,51,95
"Belgium","Europe",2022-06-01,1254,1139,1766,627,239,230,871,533,520,2026,80,6,3,149,129
"Bulgaria","Europe",2022-06-01,32,34,48,18,3,3,13,32,15,55,2,1,0,5,3
"Denmark","Europe",2022-06-01,93,126,179,40,27,7,70,74,41,153,41,0,0,21,4
"Scotland","Europe",2022-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-06-01,8006,8268,10850,5424,2644,1626,4052,4302,3650,12482,849,120,30,2067,726
"Finland","Europe",2022-06-01,23,35,32,26,8,6,20,18,6,39,9,0,0,9,1
"France","Europe",2022-06-01,4334,4117,6745,1706,657,566,3098,1872,2258,7022,353,119,8,399,550
"Greece","Europe",2022-06-01,29,35,28,36,4,3,25,20,12,29,12,3,0,5,15
"Netherlands","Europe",2022-06-01,1316,1389,1978,727,180,215,1243,431,636,2208,52,5,3,261,176
"Hungary","Europe",2022-06-01,219,240,366,93,46,42,154,137,80,426,0,0,0,15,18
"United Kingdom","Europe",2022-06-01,8925,8117,15960,1082,1146,1384,6323,3279,4910,16514,266,17,3,121,121
"Ireland","Europe",2022-06-01,3,0,3,0,0,0,0,3,0,1,2,0,0,0,0
"Italy","Europe",2022-06-01,2579,3068,3286,2361,862,372,2025,1126,1262,4347,128,19,5,945,203
"Luxembourg","Europe",2022-06-01,54,69,94,29,4,3,54,22,40,108,3,0,0,9,3
"Norway","Europe",2022-06-01,150,167,132,185,77,53,56,76,55,211,7,0,0,86,13
"Poland","Europe",2022-06-01,1352,1252,2298,306,309,217,898,817,363,2429,33,2,1,17,122
"Portugal","Europe",2022-06-01,2957,2799,5150,606,643,362,1968,1708,1075,5576,42,1,0,8,129
"Czech Republic","Europe",2022-06-01,588,553,957,184,101,141,415,270,214,1051,7,0,0,31,52
"Romania","Europe",2022-06-01,164,155,255,64,32,11,150,82,44,300,0,3,0,4,12
"Russia","Europe",2022-06-01,96,138,79,155,15,9,80,89,41,170,12,0,0,5,47
"Sweden","Europe",2022-06-01,98,103,122,79,28,33,38,53,49,148,13,0,0,37,3
"Switzerland","Europe",2022-06-01,1093,1118,1507,704,223,183,769,441,595,1608,93,4,3,298,205
"Ukraine","Europe",2022-06-01,90,75,88,77,10,17,75,38,25,135,0,4,0,7,19
"Other Europe","Europe",2022-06-01,529,564,820,273,103,72,401,301,216,959,43,3,0,32,56
"Australia","Australia",2022-06-01,53,57,72,38,13,2,41,28,26,83,5,3,0,10,9
"Other Rest of the World","Other",2022-06-01,100,151,129,122,23,20,70,73,65,133,34,2,0,36,46
"Dom. Residents",NA,2022-07-01,29060,24219,1120,52159,4842,4949,12143,14154,17191,31379,1561,1188,621,5728,12802
"Ext. Residents",NA,2022-07-01,5940,6661,1541,11060,2347,1204,2565,3078,3407,7999,1019,108,159,1268,2048
"Dom. Non-Residents",NA,2022-07-01,81865,62121,8026,135960,7496,11070,28898,41710,54812,92962,1349,252,226,40499,8698
"Canada","North America",2022-07-01,24903,22953,41641,6215,7686,6371,9676,12997,11126,45454,386,122,5,1041,848
"United States","North America",2022-07-01,159757,145305,194528,110534,54409,42299,69858,75385,63111,262300,4942,894,504,26227,10195
"Mexico","North America",2022-07-01,2179,2775,3558,1396,317,381,1416,1640,1200,3243,705,389,17,284,316
"Aruba","Caribbean",2022-07-01,211,268,143,336,152,86,55,88,98,242,9,11,0,109,108
"Turk and Caicos Islands","Caribbean",2022-07-01,182,252,145,289,106,33,84,110,101,272,20,0,0,60,82
"Costa Rica","Central America",2022-07-01,395,531,599,327,55,106,198,336,231,495,272,74,0,61,24
"Cuba","Caribbean",2022-07-01,643,570,686,527,83,68,231,270,561,830,52,45,4,155,127
"Curaçao","Caribbean",2022-07-01,409,483,516,376,216,136,122,191,227,616,17,10,0,102,147
"El Salvador","Central America",2022-07-01,207,215,246,176,47,33,142,130,70,253,59,45,1,20,44
"Guadeloupe","Caribbean",2022-07-01,898,910,1128,680,407,244,241,405,511,1393,20,17,2,213,163
"Guatemala","Central America",2022-07-01,297,451,516,232,61,39,222,260,166,366,190,72,10,35,75
"Haiti","Caribbean",2022-07-01,1168,1499,963,1704,188,137,916,830,596,1473,190,72,55,406,471
"Honduras","Central America",2022-07-01,199,214,228,185,33,22,144,113,101,249,44,32,7,14,67
"Jamaica","Caribbean",2022-07-01,202,234,224,212,32,68,178,98,60,242,35,78,0,18,63
"Martinique","Caribbean",2022-07-01,608,639,841,406,276,148,225,287,311,928,25,2,1,173,118
"Panama","Central America",2022-07-01,802,1081,1239,644,271,94,501,630,387,972,474,107,12,133,185
"Puerto Rico","Caribbean",2022-07-01,10933,10341,15794,5480,1986,2135,5209,5949,5995,18342,510,103,62,1125,1132
"Saint Martin","Caribbean",2022-07-01,119,223,74,268,107,76,54,47,58,177,1,0,1,142,21
"Trinidad and Tobago","Caribbean",2022-07-01,235,206,349,92,44,30,120,134,113,373,12,19,0,6,31
"U.S. Virgin Islands","Caribbean",2022-07-01,90,96,47,139,56,22,20,40,48,120,1,1,0,44,20
"Other America","North America",2022-07-01,511,668,501,678,171,146,303,288,271,581,76,44,11,300,167
"Argentina","South America",2022-07-01,8958,8137,14981,2114,3330,2178,2065,4787,4735,16687,110,45,2,111,140
"Bolivia","South America",2022-07-01,609,505,897,217,232,204,188,304,186,1067,3,4,1,20,19
"Brazil","South America",2022-07-01,3000,2971,5238,733,934,558,1173,2088,1218,5366,207,43,5,101,249
"Chile","South America",2022-07-01,8042,6921,12766,2197,3059,1690,2828,4161,3225,14463,95,54,6,232,113
"Colombia","South America",2022-07-01,12315,10443,16191,6567,2360,1735,6731,6256,5676,20307,710,161,98,515,967
"Ecuador","South America",2022-07-01,1850,1644,2682,812,332,609,870,991,692,2847,42,381,5,106,113
"Peru","South America",2022-07-01,3615,3082,5361,1336,1003,747,1476,1884,1587,6104,136,63,0,140,254
"Uruguay","South America",2022-07-01,1320,1101,2094,327,508,184,382,672,675,2337,18,11,0,25,30
"Venezuela","South America",2022-07-01,2995,2742,937,4800,451,506,1059,1303,2418,2283,275,31,22,494,2632
"Other South America","South America",2022-07-01,396,331,563,164,139,75,166,202,145,660,22,17,2,6,20
"China","Asia",2022-07-01,24,124,52,96,7,8,63,58,12,39,74,2,1,5,27
"South Korea","Asia",2022-07-01,26,84,50,60,2,4,23,41,40,37,30,12,1,19,11
"India","Asia",2022-07-01,35,81,95,21,3,7,29,32,45,66,20,3,1,6,20
"Israel","Asia",2022-07-01,130,148,227,51,15,36,106,58,63,209,17,5,8,15,24
"Japan","Asia",2022-07-01,26,34,34,26,11,2,17,18,12,10,18,4,1,16,11
"Taiwan","Asia",2022-07-01,4,5,6,3,0,1,4,0,4,2,3,0,0,4,0
"Other Asia","Asia",2022-07-01,271,645,483,433,64,40,391,291,130,398,146,40,2,57,273
"Germany","Europe",2022-07-01,6512,6143,10567,2088,1626,1925,3422,3156,2526,10004,260,29,14,712,1636
"Austria","Europe",2022-07-01,646,653,940,359,244,189,365,296,205,1031,20,3,0,131,114
"Belgium","Europe",2022-07-01,2216,2109,3553,772,598,679,1228,1102,718,3939,55,2,0,187,142
"Bulgaria","Europe",2022-07-01,24,30,29,25,4,5,17,12,16,46,2,0,0,2,4
"Denmark","Europe",2022-07-01,196,201,294,103,50,94,81,91,81,362,5,0,0,26,4
"Scotland","Europe",2022-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spain","Europe",2022-07-01,14466,14147,19640,8973,4267,3648,7498,7406,5794,23364,871,92,48,3144,1094
"Finland","Europe",2022-07-01,21,33,37,17,4,9,19,16,6,46,3,0,0,4,1
"France","Europe",2022-07-01,8600,7885,13166,3319,2629,2698,3682,4208,3268,14836,328,11,9,712,589
"Greece","Europe",2022-07-01,16,29,17,28,2,5,8,21,9,20,10,0,0,11,4
"Netherlands","Europe",2022-07-01,2097,2070,2863,1304,865,781,1029,899,593,3342,54,3,3,567,198
"Hungary","Europe",2022-07-01,102,91,146,47,11,22,62,50,48,179,3,0,0,6,5
"United Kingdom","Europe",2022-07-01,9883,9192,17686,1389,2240,3549,4165,4776,4345,18535,175,13,1,285,66
"Ireland","Europe",2022-07-01,286,263,468,81,54,81,184,135,95,520,7,4,0,6,12
"Italy","Europe",2022-07-01,3014,3337,3908,2443,714,511,2465,1290,1371,5252,155,8,4,786,146
"Luxembourg","Europe",2022-07-01,62,89,90,61,25,23,41,33,29,132,1,1,0,16,1
"Norway","Europe",2022-07-01,219,223,261,181,86,57,98,124,77,364,1,0,0,66,11
"Poland","Europe",2022-07-01,1406,1280,2488,198,320,288,754,923,401,2458,69,0,0,15,144
"Portugal","Europe",2022-07-01,3329,3080,5608,801,917,765,1558,1967,1202,6189,40,2,2,19,157
"Czech Republic","Europe",2022-07-01,1080,958,1855,183,191,249,651,552,395,1891,10,2,2,25,108
"Romania","Europe",2022-07-01,132,138,168,102,27,16,106,80,41,215,6,0,0,6,43
"Russia","Europe",2022-07-01,112,97,88,121,21,13,62,79,34,156,4,1,1,8,39
"Sweden","Europe",2022-07-01,81,96,107,70,31,22,44,53,27,142,2,1,1,30,1
"Switzerland","Europe",2022-07-01,2558,2584,3114,2028,1026,960,1236,1013,907,3614,91,8,2,1000,427
"Ukraine","Europe",2022-07-01,113,75,96,92,16,10,94,46,22,152,6,0,0,6,24
"Other Europe","Europe",2022-07-01,441,519,695,265,103,100,301,292,164,818,24,6,2,55,55
"Australia","Australia",2022-07-01,63,69,84,48,19,7,39,34,33,100,5,0,0,24,3
"Other Rest of the World","Other",2022-07-01,239,297,364,172,70,67,136,138,125,387,75,3,0,28,43
"Dom. Residents",NA,2022-08-01,40996,31233,869,71360,7437,8035,15658,18858,22241,42445,1761,1070,1038,7619,18296
"Ext. Residents",NA,2022-08-01,6214,6839,1097,11956,1967,1287,2845,3379,3575,7438,1223,102,308,1500,2482
"Dom. Non-Residents",NA,2022-08-01,66690,52985,6838,112837,3584,6226,26592,33741,49532,75713,1429,241,366,32857,9069
"Canada","North America",2022-08-01,23883,21788,40177,5494,6773,6466,10719,11353,10360,43833,281,61,7,763,726
"United States","North America",2022-08-01,119481,112798,148210,84069,34994,23433,63529,57717,52606,195748,5388,949,429,20965,8800
"Mexico","North America",2022-08-01,2054,2500,3309,1245,332,168,1511,1611,932,2806,797,353,22,308,268
"Aruba","Caribbean",2022-08-01,124,160,139,145,49,43,50,76,66,135,4,7,2,56,80
"Turk and Caicos Islands","Caribbean",2022-08-01,185,269,184,270,79,38,102,126,109,284,16,2,0,62,90
"Costa Rica","Central America",2022-08-01,286,434,491,229,30,20,193,296,181,248,314,72,1,39,46
"Cuba","Caribbean",2022-08-01,855,668,990,533,99,122,289,291,722,1217,34,13,4,177,78
"Curaçao","Caribbean",2022-08-01,111,214,148,177,18,44,64,79,120,169,7,2,3,56,88
"El Salvador","Central America",2022-08-01,162,182,219,125,27,14,102,111,90,191,49,40,1,24,39
"Guadeloupe","Caribbean",2022-08-01,949,814,1222,541,321,190,284,455,513,1407,29,43,0,128,156
"Guatemala","Central America",2022-08-01,317,461,560,218,40,29,241,295,173,362,229,84,3,39,61
"Haiti","Caribbean",2022-08-01,1286,1453,1028,1711,197,114,948,875,605,1542,187,43,42,441,484
"Honduras","Central America",2022-08-01,256,292,288,260,41,39,212,166,90,290,77,44,3,29,105
"Jamaica","Caribbean",2022-08-01,268,228,326,170,71,37,202,140,46,302,39,23,0,25,107
"Martinique","Caribbean",2022-08-01,635,630,968,297,228,129,259,331,318,1044,16,6,1,80,118
"Panama","Central America",2022-08-01,612,991,1085,518,104,48,482,595,374,689,528,154,5,102,125
"Puerto Rico","Caribbean",2022-08-01,5138,5824,7224,3738,650,677,2752,3435,3448,8431,648,162,56,833,832
"Saint Martin","Caribbean",2022-08-01,148,212,133,227,67,60,76,87,70,208,5,2,2,74,69
